_id,ID,First_Name,Last_Name,Email,Gender,Country,City,Birth_date,Subscription_Date,Exit_Date,Hire_Date,Study_Domain,Mobility,General_Mean,Interruption_Reason,Graduation,Presence,Internship_Pro,Contract_Type,Company_Name,Recrutement_Salon,Recrutment_Nbr,Campus
5ffb527cd3a24346509b421f,234534,Chester,Ratliff,Chester.Ratliff@supinfo.com,M,France,Schiltigheim,20/11/95,02/03/20,07/09/21,29/08/20,IT Engineer,Walk,19,NA,TRUE,Always,TRUE,InternshipPro, Modis ,4,0,Paris
5ffb527cd3a24346509b4220,234535,Callum,Crosby,Callum.Crosby@supinfo.com,M,France,Montpellier,21/01/97,09/02/21,21/10/21,23/08/21,Developer Backend,Walk,6,Rating,FALSE,Delayed,FALSE,PartTime, CHEOPS Technology ,3,3,Caen
5ffb527cd3a24346509b4221,234536,Grady,Dean,Grady.Dean@supinfo.com,F,France,Soissons,30/10/93,22/07/20,20/03/20,23/04/21,Design UX/UI,Car,16,NA,TRUE,Often,FALSE,PartTime, CGI ,5,9,Lille
5ffb527cd3a24346509b4222,234537,Leonard,Best,Leonard.Best@supinfo.com,M,France,Amiens,17/09/92,15/03/21,25/07/21,25/08/21,Linux Architect,Train,13,NA,TRUE,Delayed,TRUE,InternshipPro, davidson consulting ,1,0,Lyon
5ffb527cd3a24346509b4223,234538,Heidi,Hopper,Heidi.Hopper@supinfo.com,F,France,Bastia,20/08/92,21/06/21,28/02/20,25/11/21,Developer Backend,Bike,4,Rating,FALSE,Absent,FALSE,PartTime, C17 Engineering ,5,0,Tours
5ffb527cd3a24346509b4224,234539,Rafael,Stuart,Rafael.Stuart@supinfo.com,M,France,Bastia,06/01/95,03/12/20,26/11/20,04/02/20,IT Engineer,Car,5,Rating,FALSE,Often,FALSE,PartTime, Dailymotion ,0,10,Paris
5ffb527cd3a24346509b4225,234540,Amena,Valentine,Amena.Valentine@supinfo.com,F,France,Le Grand-Quevilly,23/09/98,14/08/20,12/05/20,16/06/20,Developer Backend,Train,10,NA,TRUE,Delayed,TRUE,InternshipPro, Devoteam ,1,9,Caen
5ffb527cd3a24346509b4226,234541,Richard,Mclaughlin,Richard.Mclaughlin@supinfo.com,M,France,Ch�teauroux,13/11/94,14/06/20,16/08/21,09/02/20,Developer Front,Bike,14,NA,TRUE,Often,TRUE,InternshipPro, Talan ,3,10,Lille
5ffb527cd3a24346509b4227,234542,Unity,Walsh,Unity.Walsh@supinfo.com,M,France,Besan�on,06/10/98,13/10/21,23/03/21,24/10/20,Developer Fullstack,Train,6,Rating,FALSE,Absent,FALSE,FullTime, Decathlon ,3,10,Lyon
5ffb527cd3a24346509b4228,234543,Alyssa,Willis,Alyssa.Willis@supinfo.com,F,France,Thionville,08/11/95,08/10/20,18/08/20,02/08/21,Linux Architect,Bike,8,Rating,FALSE,Absent,FALSE,PartTime, Total ,5,8,Tours
5ffb527cd3a24346509b4229,234544,Madaline,Harding,Madaline.Harding@supinfo.com,F,France,�vreux,27/03/91,15/04/20,08/09/20,30/03/21,IT Engineer,Train,12,NA,TRUE,Absent,FALSE,FullTime, IBM ,3,1,Paris
5ffb527cd3a24346509b422a,234545,Abraham,Coffey,Abraham.Coffey@supinfo.com,M,France,Boulogne-Billancourt,05/09/91,30/10/21,11/12/21,20/07/20,Admin Sys,Walk,5,Rating,FALSE,Absent,FALSE,PartTime, Airbus ,3,3,Caen
5ffb527cd3a24346509b422b,234546,Kibo,Torres,Kibo.Torres@supinfo.com,M,France,Brive-la-Gaillarde,22/09/98,18/10/20,28/04/20,16/03/21,Data Anlalyst,Car,18,NA,FALSE,Often,TRUE,InternshipPro, Altran ,4,3,Lille
5ffb527cd3a24346509b422c,234547,Quinlan,Mccormick,Quinlan.Mccormick@supinfo.com,M,France,Colmar,02/04/95,03/12/21,27/06/21,25/10/20,Admin Sys,Train,7,Rating,FALSE,Delayed,TRUE,InternshipPro, CHEOPS Technology ,3,0,Lyon
5ffb527cd3a24346509b422d,234548,Keely,Baird,Keely.Baird@supinfo.com,F,France,Lisieux,20/05/94,04/10/21,13/01/20,25/08/20,Admin Sys,Car,13,NA,TRUE,Delayed,TRUE,InternshipPro, Extia ,0,7,Tours
5ffb527cd3a24346509b422e,234549,Axel,Rivas,Axel.Rivas@supinfo.com,M,France,Charleville-M�zi�res,18/11/98,12/02/21,10/03/20,25/02/21,Design UX/UI,Train,18,NA,TRUE,Often,FALSE,FullTime, C17 Engineering ,3,2,Paris
5ffb527cd3a24346509b422f,234550,Kyle,Hooper,Kyle.Hooper@supinfo.com,M,France,Sens,02/04/96,02/05/20,26/07/20,20/01/20,Admin Sys,Car,7,Rating,FALSE,Always,TRUE,InternshipPro, Decathlon ,3,9,Caen
5ffb527cd3a24346509b4230,234551,Bell,Rice,Bell.Rice@supinfo.com,M,France,Brive-la-Gaillarde,10/06/93,06/02/20,21/11/20,06/05/20,Data Anlalyst,Car,17,NA,TRUE,Often,TRUE,InternshipPro, Cat-Amania ,1,3,Paris
5ffb527cd3a24346509b4231,234552,Savannah,Jarvis,Savannah.Jarvis@supinfo.com,F,France,Mont-de-Marsan,20/09/96,16/03/20,14/03/20,02/11/21,Developer Fullstack,Train,20,NA,TRUE,Always,TRUE,InternshipPro, CGI ,3,2,Caen
5ffb527cd3a24346509b4232,234553,Megan,Henderson,Megan.Henderson@supinfo.com,F,France,Courbevoie,14/08/94,27/05/20,02/05/21,23/05/21,Admin Sys,Bike,5,Rating,FALSE,Delayed,FALSE,FullTime, Hewlett Packard Enterprise ,4,4,Lille
5ffb527cd3a24346509b4233,234554,Angelica,Ortega,Angelica.Ortega@supinfo.com,F,France,Rennes,21/03/93,25/02/21,23/04/21,22/08/20,Developer Backend,Walk,6,Rating,FALSE,Delayed,FALSE,PartTime, Qim info SA ,0,6,Lyon
5ffb527cd3a24346509b4234,234555,Maxine,Pollard,Maxine.Pollard@supinfo.com,M,France,Lunel,11/05/93,15/11/21,20/04/20,02/11/20,Admin Sys,Train,12,NA,TRUE,Absent,FALSE,FullTime, leboncoin ,0,8,Tours
5ffb527cd3a24346509b4235,234556,Martina,Bolton,Martina.Bolton@supinfo.com,F,France,Ajaccio,06/12/95,09/06/20,18/11/20,20/09/20,Admin Sys,Car,19,NA,FALSE,Often,FALSE,PartTime, Talan ,5,0,Paris
